province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Province of Québec, 4,11021,1078,11274,0,2024-01-27,0,1989,1989,31,7783,428,1772,0,0,3,1,0,1784,43,1772,27,N.C.,N.C.,1615,91
Québec-Chaudière-Appalaches, 4,1737,152,2005,0,2024-01-27,0,506,506,8,1899,111,746,0,0,0,0,0,758,19,745,11,N.C.,N.C.,589,34
Région Nord-Est, 4,1481,103,1778,0,2024-01-27,0,276,276,1,773,80,70,0,0,0,0,0,70,4,68,2,N.C.,N.C.,70,2
Saskatchewan, 4,1723,154,1387,0,2024-01-27,0,11,11,100,1218,79,363,0,1,1,1,0,363,7,363,46,363,19,363,14
Sault Area Hospital, 4,204,23,152,4,2024-01-27,1,2,7,2,152,18,123,0,0,0,0,0,123,1,123,0,123,8,123,0
Shared Hospital Laboratory, 4,1900,127,1591,58,2024-01-27,22,32,112,8,1590,24,1585,0,0,0,0,13,1582,12,1586,11,1586,22,1586,29
Sick Kids Hospital - Toronto, 4,N.R.,N.R.,N.R.,N.R.,2024-01-27,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 4,1886,145,1737,0,2024-01-27,0,173,173,10,1737,32,1737,0,0,22,0,0,1737,5,1737,15,1737,56,0,0
St. Joseph's - London, 4,836,56,645,0,2024-01-27,0,71,71,5,645,17,45,0,0,0,0,0,45,2,45,0,45,0,45,7
Territories, 4,198,8,179,2,2024-01-27,0,0,4,0,179,43,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,44,4,N.C.,N.C.
UHN / Mount Sinai Hospital, 4,1172,100,848,0,2024-01-27,0,42,42,0,848,8,47,0,0,0,0,0,47,0,47,0,47,4,47,1
Yukon, 4,59,1,49,1,2024-01-27,0,0,3,0,49,3,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
