province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Northwest Territories, 48,43,3,36,11,2023-12-02,0,0,11,0,36,3,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,36,3,N.C.,N.C.
Nova Scotia, 48,1476,397,1014,0,2023-12-02,0,24,24,2,828,81,33,0,0,0,1,0,33,1,33,0,33,7,33,0
Nunavut, 48,161,14,81,0,2023-12-02,3,26,29,0,81,6,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 48,1783,483,432,0,2023-12-02,0,16,16,3,431,56,17,0,0,0,0,0,17,3,17,1,N.C.,N.C.,17,0
P.H.O.L. - Hamilton, 48,249,83,170,1,2023-12-02,0,0,1,0,170,21,122,0,0,0,0,2,122,4,122,2,122,10,122,1
P.H.O.L. - Kingston, 48,239,107,147,1,2023-12-02,0,0,1,0,147,24,116,0,0,0,0,2,116,2,116,0,116,16,116,0
P.H.O.L. - London, 48,576,202,448,29,2023-12-02,3,7,20,1,447,47,366,0,0,0,0,7,366,3,366,2,366,9,366,2
P.H.O.L. - Orillia, 48,16,8,45,0,2023-12-02,0,0,0,0,45,8,42,0,0,0,0,0,42,0,42,0,42,2,42,0
P.H.O.L. - Ottawa, 48,370,178,243,13,2023-12-02,1,1,10,0,243,15,152,0,0,0,0,3,152,1,152,2,152,4,152,0
P.H.O.L. - Peterborough, 48,140,51,129,5,2023-12-02,3,0,8,0,129,27,93,0,0,0,0,3,93,5,93,2,93,11,93,0
P.H.O.L. - Sault Ste. Marie, 48,5,3,5,0,2023-12-02,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,5,1,5,0
P.H.O.L. - Sudbury, 48,36,20,41,0,2023-12-02,0,0,0,0,41,0,23,0,0,0,0,0,23,0,23,0,23,0,23,0
P.H.O.L. - Thunder Bay, 48,48,15,23,1,2023-12-02,0,0,1,0,23,0,22,0,0,0,0,2,22,1,22,1,22,2,22,0
P.H.O.L. - Timmins, 48,19,1,26,1,2023-12-02,0,0,1,0,26,7,22,0,0,0,0,0,22,0,22,0,22,1,22,0
P.H.O.L. - Toronto, 48,733,280,1248,50,2023-12-02,20,0,60,3,1248,97,1136,0,0,0,0,40,1136,21,1136,8,1136,76,1136,8
Prairies, 48,10927,1388,8800,729,2023-12-02,39,1014,1782,32,8293,289,1828,8,5,3,4,0,1828,37,1837,9,1810,123,1851,12
Prince Edward Island, 48,229,76,163,0,2023-12-02,0,2,2,0,163,5,13,0,0,0,0,0,13,1,13,0,13,3,13,1
Province of Ontario, 48,11185,2240,8454,161,2023-12-02,52,213,392,14,8454,718,5973,3,0,11,3,66,5973,81,5976,28,5976,310,4252,18
Province of Québec, 48,13853,3056,7227,0,2023-12-02,0,274,274,11,5554,634,1593,7,5,7,2,0,1614,61,1591,37,N.C.,N.C.,1520,16
Québec-Chaudière-Appalaches, 48,2414,540,1178,0,2023-12-02,0,25,25,3,1179,130,577,1,1,1,0,0,598,31,577,16,N.C.,N.C.,496,7
Région Nord-Est, 48,1492,300,1295,0,2023-12-02,0,47,47,0,422,41,64,1,1,1,0,0,64,6,61,6,N.C.,N.C.,64,2
Saskatchewan, 48,2912,327,2483,0,2023-12-02,0,806,806,9,2268,58,549,3,0,0,0,0,549,12,549,8,549,29,549,3
Sault Area Hospital, 48,304,48,173,4,2023-12-02,0,4,8,0,173,7,117,3,0,0,1,0,117,3,117,0,117,12,117,0
Shared Hospital Laboratory, 48,2214,301,1791,39,2023-12-02,20,11,70,5,1792,116,1787,0,0,0,0,6,1787,22,1790,4,1790,31,1790,6
Sick Kids Hospital - Toronto, 48,147,18,134,4,2023-12-02,5,9,18,0,134,27,134,0,0,2,2,0,134,2,134,1,134,19,134,1
St. Joseph's - Hamilton, 48,1966,259,1724,0,2023-12-02,0,76,76,2,1724,155,1724,0,0,9,0,0,1724,15,1724,6,1724,105,0,0
St. Joseph's - London, 48,951,204,580,0,2023-12-02,0,28,28,0,580,64,51,0,0,0,0,1,51,2,51,0,51,6,51,0
Territories, 48,249,19,149,12,2023-12-02,3,26,43,0,149,10,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,36,3,N.C.,N.C.
UHN / Mount Sinai Hospital, 48,1428,203,765,13,2023-12-02,0,0,13,2,765,16,21,0,0,0,0,0,21,0,21,0,21,0,21,0
Yukon, 48,45,2,32,1,2023-12-02,0,0,3,0,32,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
