province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Newfoundland, 7,684,63,476,0,2024-02-17,0,57,57,12,476,46,476,1,3,1,2,0,476,5,476,15,476,17,476,34
Northwest Territories, 7,36,0,36,0,2024-02-17,0,0,0,7,36,18,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,36,3,36,0,36,5,N.C.,N.C.
Nova Scotia, 7,1185,117,1099,0,2024-02-17,0,132,132,15,827,30,42,0,0,1,0,0,42,0,42,0,42,3,42,1
Nunavut, 7,109,7,75,1,2024-02-17,0,1,2,3,75,15,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 7,1364,135,820,0,2024-02-17,0,117,117,15,812,30,16,0,0,1,0,0,16,1,16,1,N.C.,N.C.,16,3
P.H.O.L. - Hamilton, 7,218,42,178,2,2024-02-17,4,12,18,2,178,1,148,0,0,0,0,6,148,1,148,2,148,6,148,15
P.H.O.L. - Kingston, 7,188,14,134,13,2024-02-17,0,12,25,1,134,2,106,0,0,0,0,0,106,0,106,4,106,4,106,13
P.H.O.L. - London, 7,406,40,349,6,2024-02-17,3,10,19,7,349,8,284,0,0,0,0,7,284,0,284,10,284,21,284,58
P.H.O.L. - Orillia, 7,23,4,41,3,2024-02-17,0,0,3,0,41,1,39,0,0,0,0,0,39,0,39,5,39,1,39,2
P.H.O.L. - Ottawa, 7,197,35,169,8,2024-02-17,0,1,9,4,167,1,107,0,0,0,0,3,107,0,107,3,107,2,107,19
P.H.O.L. - Peterborough, 7,69,10,83,1,2024-02-17,1,18,19,1,83,2,47,0,0,0,0,0,47,0,47,1,47,6,47,1
P.H.O.L. - Sault Ste. Marie, 7,46,1,49,6,2024-02-17,0,4,10,0,49,2,26,0,0,0,0,0,26,0,26,0,26,0,26,14
P.H.O.L. - Sudbury, 7,45,18,59,4,2024-02-17,0,2,6,0,59,0,27,0,0,0,0,0,27,0,27,0,27,0,27,0
P.H.O.L. - Thunder Bay, 7,65,20,43,0,2024-02-17,0,0,0,0,43,2,36,0,0,0,0,0,36,0,36,1,36,0,36,2
P.H.O.L. - Timmins, 7,32,5,39,2,2024-02-17,0,2,4,0,39,1,27,0,0,0,0,3,27,0,27,0,27,1,27,2
P.H.O.L. - Toronto, 7,439,67,959,31,2024-02-17,9,25,59,18,959,12,912,0,0,0,0,34,912,10,912,26,912,35,912,135
Prairies, 7,7979,742,6890,41,2024-02-17,24,36,110,241,6387,370,1650,3,0,30,0,0,1650,20,1645,33,1638,140,1677,104
Prince Edward Island, 7,193,12,180,0,2024-02-17,0,17,17,5,180,31,18,0,0,0,0,0,18,1,18,2,18,3,18,2
Province of Ontario, 7,7725,578,7007,111,2024-02-17,41,339,484,122,7005,80,5327,1,0,10,0,65,5327,32,5334,113,5334,225,3619,327
Province of Québec, 7,11084,735,11969,1,2024-02-17,0,1987,1988,183,7973,363,1847,0,0,9,1,0,1858,36,1848,69,N.C.,N.C.,1682,136
Québec-Chaudière-Appalaches, 7,1786,122,2182,0,2024-02-17,0,471,471,70,2029,77,710,0,0,0,1,0,721,7,710,32,N.C.,N.C.,545,35
Région Nord-Est, 7,1585,102,1658,0,2024-02-17,0,243,243,27,731,78,79,0,0,0,0,0,79,2,78,2,N.C.,N.C.,79,7
Saskatchewan, 7,1731,147,1298,0,2024-02-17,0,18,18,65,1054,85,424,1,0,2,0,0,424,3,424,27,424,37,424,34
Sault Area Hospital, 7,229,34,154,5,2024-02-17,0,1,6,0,154,7,132,1,0,1,0,0,132,0,132,0,132,6,132,11
Shared Hospital Laboratory, 7,1841,71,1467,27,2024-02-17,17,49,93,26,1467,11,1456,0,0,0,0,11,1456,8,1463,16,1463,24,1463,37
Sick Kids Hospital - Toronto, 7,128,9,126,3,2024-02-17,6,0,9,4,126,0,126,0,0,5,0,0,126,3,126,8,126,23,126,5
St. Joseph's - Hamilton, 7,1800,84,1715,0,2024-02-17,0,129,129,37,1715,23,1715,0,0,4,0,0,1715,10,1715,35,1715,85,0,0
St. Joseph's - London, 7,919,64,695,0,2024-02-17,0,50,50,14,695,5,68,0,0,0,0,1,68,0,68,2,68,8,68,7
Territories, 7,197,13,145,1,2024-02-17,0,1,2,10,145,34,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,36,3,36,0,36,5,N.C.,N.C.
UHN / Mount Sinai Hospital, 7,1080,60,747,0,2024-02-17,1,24,25,8,747,2,71,0,0,0,0,0,71,0,71,0,71,3,71,6
Yukon, 7,52,6,34,0,2024-02-17,0,0,0,0,34,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
