province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Toronto, 43,743,283,1072,9,1,0,8,0,1073,17,941,0,0,0,0,21,941,4,941,8,941,129,941,2
Prairies, 43,9387,1597,5010,48,13,42,103,8,4784,56,1025,5,2,1,3,0,1025,19,462,2,1016,177,1063,3
Prince Edward Island, 43,180,34,65,0,0,0,0,0,65,2,10,0,0,0,0,0,10,0,10,0,10,3,10,0
Province of Ontario, 43,9275,1794,6813,18,4,15,34,4,6814,287,5219,1,1,7,0,41,5219,36,5196,16,5223,520,3703,11
Province of Québec, 43,12005,2196,5081,0,0,32,32,6,4043,246,1047,7,3,5,4,0,1060,39,1051,15,N.C.,N.C.,1047,4
Québec-Chaudière-Appalaches, 43,2135,352,689,0,0,3,3,1,689,36,255,0,0,0,2,0,268,9,255,5,N.C.,N.C.,255,0
Région Nord-Est, 43,1604,304,1195,0,0,4,4,0,351,11,64,1,0,0,0,0,64,4,62,0,N.C.,N.C.,64,0
Saskatchewan, 43,2355,417,885,0,0,37,37,1,849,8,302,3,0,1,0,0,302,6,302,1,302,48,302,0
Sault Area Hospital, 43,207,29,110,0,0,0,0,0,110,0,67,0,0,0,0,0,67,0,67,0,67,4,67,0
Shared Hospital Laboratory, 43,1340,107,1340,6,1,0,7,0,1340,57,1344,0,0,0,0,2,1344,11,1321,3,1348,58,1348,2
Sick Kids Hospital - Toronto, 43,127,6,103,0,1,0,1,0,103,15,103,1,1,1,0,0,103,6,103,2,103,34,103,0
St. Joseph's - Hamilton, 43,1754,198,1519,0,0,7,7,2,1519,66,1519,0,0,5,0,0,1519,5,1519,2,1519,108,0,0
St. Joseph's - London, 43,942,183,247,0,0,1,1,0,247,18,248,0,0,0,0,1,248,2,248,0,248,26,247,1
Territories, 43,200,41,114,1,0,0,1,0,114,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,15,2,N.C.,N.C.
UHN / Mount Sinai Hospital, 43,1053,106,657,0,0,2,2,1,657,4,20,0,0,1,0,0,20,0,20,0,20,1,20,0
Yukon, 43,43,3,30,0,0,0,0,0,30,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
