province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Sudbury, 15,10,0,20,2,2024-04-13,0,0,2,1,20,0,15,0,0,0,0,1,15,1,15,2,15,1,15,2
P.H.O.L. - Thunder Bay, 15,64,14,58,2,2024-04-13,0,0,2,0,58,0,45,0,0,0,0,2,45,0,45,2,45,2,45,0
P.H.O.L. - Timmins, 15,21,3,39,3,2024-04-13,0,0,3,1,39,2,37,0,0,0,0,1,37,0,37,2,37,4,37,5
P.H.O.L. - Toronto, 15,396,52,932,16,2024-04-13,1,0,17,14,932,7,868,0,0,0,0,73,868,20,868,67,868,86,868,89
Prairies, 15,7226,387,6670,12,2024-04-13,19,40,76,504,6262,121,1643,5,2,127,1,0,1643,11,1557,14,1627,148,1642,79
Prince Edward Island, 15,173,6,142,0,2024-04-13,0,1,1,12,142,5,23,0,0,6,0,0,23,3,23,3,23,8,23,3
Province of Ontario, 15,6768,349,6128,40,2024-04-13,10,57,105,207,6128,39,4314,0,0,92,0,124,4314,46,4318,237,4291,268,2799,175
Province of Québec, 15,8701,199,9747,0,2024-04-13,0,192,192,777,6662,170,1630,0,1,67,2,0,1646,35,1625,92,N.C.,N.C.,1510,84
Québec-Chaudière-Appalaches, 15,1280,36,1536,0,2024-04-13,0,20,20,185,1450,37,610,0,0,8,0,0,626,12,610,41,N.C.,N.C.,490,36
Région Nord-Est, 15,1377,43,1476,0,2024-04-13,0,5,5,164,746,24,88,0,0,7,1,0,88,2,83,5,N.C.,N.C.,88,14
Saskatchewan, 15,1682,79,1243,0,2024-04-13,0,16,16,143,1026,38,397,0,0,24,0,0,397,2,397,9,397,42,397,24
Sault Area Hospital, 15,114,17,103,2,2024-04-13,2,0,4,5,103,0,89,0,0,6,0,0,89,0,89,12,89,7,89,5
Shared Hospital Laboratory, 15,1448,36,1102,7,2024-04-13,6,1,14,42,1102,3,1091,0,0,0,0,13,1091,9,1095,17,1068,37,1095,12
Sick Kids Hospital - Toronto, 15,N.R.,N.R.,N.R.,N.R.,2024-04-13,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 15,1571,41,1519,0,2024-04-13,0,22,22,79,1519,6,1519,0,0,76,0,0,1519,15,1519,80,1519,97,0,0
St. Joseph's - London, 15,642,23,502,0,2024-04-13,0,7,7,17,502,11,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
Territories, 15,270,16,234,1,2024-04-13,1,0,5,21,234,14,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,29,0,29,0,29,4,N.C.,N.C.
UHN / Mount Sinai Hospital, 15,891,20,642,0,2024-04-13,0,9,9,6,642,1,113,0,0,3,0,0,113,0,113,6,113,3,113,3
Yukon, 15,38,1,27,0,2024-04-13,0,0,3,5,27,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
