province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Prairies, 44,10284,1859,6367,141,2023-11-04,21,175,337,8,5979,100,1647,10,2,5,5,0,1647,34,548,11,1637,191,1676,4
Prince Edward Island, 44,175,26,74,0,2023-11-04,0,0,0,0,74,1,16,0,0,0,1,0,16,0,16,0,16,5,0,0
Province of Ontario, 44,9062,1548,6998,25,2023-11-04,7,14,38,4,6999,406,5214,1,0,6,3,42,5214,54,5217,9,5217,438,3507,15
Province of Québec, 44,11803,2164,5302,0,2023-11-04,0,35,35,4,4338,293,1049,9,5,6,2,0,1067,42,1052,19,N.C.,N.C.,1049,3
Québec-Chaudière-Appalaches, 44,2032,309,687,0,2023-11-04,0,0,0,1,692,54,273,1,0,0,0,0,291,17,273,7,N.C.,N.C.,273,0
Région Nord-Est, 44,1737,387,1239,0,2023-11-04,0,0,0,0,472,14,58,1,1,0,1,0,58,4,57,2,N.C.,N.C.,58,0
Saskatchewan, 44,2824,460,1139,0,2023-11-04,0,164,164,2,1069,14,422,0,0,0,0,0,422,12,422,11,422,42,422,1
Sault Area Hospital, 44,229,28,133,1,2023-11-04,0,0,1,0,133,2,96,0,0,0,2,0,96,1,96,0,96,10,96,0
Shared Hospital Laboratory, 44,1443,145,1443,13,2023-11-04,2,2,17,0,1444,78,1447,0,0,0,0,5,1447,13,1450,0,1450,56,1425,3
Sick Kids Hospital - Toronto, 44,160,14,115,0,2023-11-04,1,1,2,0,115,23,115,1,0,1,1,0,115,5,115,0,115,38,115,0
St. Joseph's - Hamilton, 44,1902,177,1685,0,2023-11-04,0,7,7,1,1685,114,1685,0,0,5,0,0,1685,12,1685,1,1685,114,0,0
St. Joseph's - London, 44,817,131,329,0,2023-11-04,0,2,2,1,329,10,109,0,0,0,0,0,109,0,109,1,109,15,109,1
Territories, 44,194,30,144,2,2023-11-04,1,0,3,0,144,4,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,23,1,N.C.,N.C.
UHN / Mount Sinai Hospital, 44,1020,79,640,0,2023-11-04,0,1,1,1,640,9,24,0,0,0,0,0,24,0,24,0,24,0,24,0
Yukon, 44,59,13,42,0,2023-11-04,0,0,0,0,42,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
