province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Peterborough, 14,75,4,90,1,2024-04-06,1,0,2,5,90,1,50,0,0,0,0,3,50,1,50,5,50,8,50,1
P.H.O.L. - Sault Ste. Marie, 14,27,8,37,3,2024-04-06,0,1,4,0,37,1,20,0,0,0,0,0,20,0,20,0,20,0,20,4
P.H.O.L. - Sudbury, 14,39,0,43,1,2024-04-06,0,0,1,0,43,1,30,0,0,0,0,2,30,0,30,1,30,4,30,11
P.H.O.L. - Thunder Bay, 14,34,0,31,3,2024-04-06,0,1,4,0,31,0,22,0,0,0,0,1,22,0,22,1,22,0,22,1
P.H.O.L. - Timmins, 14,19,1,46,5,2024-04-06,0,0,5,0,46,3,37,0,0,0,0,1,37,1,37,3,37,2,37,6
P.H.O.L. - Toronto, 14,370,34,898,9,2024-04-06,2,5,16,12,898,3,837,0,0,0,0,80,837,9,837,73,837,54,837,85
Prairies, 14,7205,323,6692,20,2024-04-06,28,49,99,609,6272,122,1597,2,1,80,0,0,1597,14,1535,22,1579,132,1596,112
Prince Edward Island, 14,154,5,138,0,2024-04-06,0,0,0,17,138,4,14,0,0,4,0,0,14,3,14,3,15,7,15,1
Province of Ontario, 14,6428,302,6182,51,2024-04-06,10,104,165,211,6182,38,4630,0,0,64,0,139,4630,34,4634,257,4634,285,3069,209
Province of Québec, 14,8709,207,9679,0,2024-04-06,0,248,248,788,6707,200,1632,0,2,50,1,0,1647,50,1631,108,N.C.,N.C.,1483,91
Québec-Chaudière-Appalaches, 14,1264,22,1621,0,2024-04-06,0,46,46,179,1559,67,642,0,0,6,0,0,657,19,642,43,N.C.,N.C.,492,31
Région Nord-Est, 14,1354,40,1473,0,2024-04-06,0,11,11,156,688,37,88,0,0,1,1,0,88,4,84,13,N.C.,N.C.,88,8
Saskatchewan, 14,1613,77,1312,0,2024-04-06,0,33,33,202,1059,38,384,0,0,17,0,0,384,3,384,14,384,28,384,30
Sault Area Hospital, 14,121,7,110,4,2024-04-06,0,0,4,0,110,2,93,0,0,2,0,0,93,4,93,12,93,10,93,0
Shared Hospital Laboratory, 14,1496,13,1180,13,2024-04-06,5,2,20,28,1180,3,1178,0,0,0,0,10,1178,7,1182,25,1182,34,1182,13
Sick Kids Hospital - Toronto, 14,128,4,111,0,2024-04-06,1,0,1,6,111,2,111,0,0,7,0,0,111,2,111,12,111,31,111,5
St. Joseph's - Hamilton, 14,1605,39,1565,0,2024-04-06,0,46,46,85,1565,7,1565,0,0,52,0,0,1565,7,1565,67,1565,100,0,0
St. Joseph's - London, 14,N.R.,N.R.,N.R.,N.R.,2024-04-06,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
Territories, 14,272,13,221,1,2024-04-06,0,0,1,34,221,17,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,35,1,35,1,35,5,N.C.,N.C.
UHN / Mount Sinai Hospital, 14,816,21,699,0,2024-04-06,0,12,12,7,699,1,65,0,0,1,0,0,65,0,65,4,65,6,65,1
Yukon, 14,56,0,36,0,2024-04-06,0,0,0,2,36,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
