province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Québec-Chaudière-Appalaches, 37,1989,339,468,0,2023-09-16,0,1,1,0,468,11,242,2,0,1,0,0,259,10,242,2,N.C.,N.C.,242,0
Région Nord-Est, 37,1429,190,934,0,2023-09-16,0,1,1,0,191,2,46,1,0,0,0,0,46,0,46,0,N.C.,N.C.,46,0
Saskatchewan, 37,1341,121,614,0,2023-09-16,0,0,0,0,599,2,233,1,2,0,0,0,233,11,233,0,233,49,233,0
Sault Area Hospital, 37,61,3,61,0,2023-09-16,0,0,0,0,54,0,54,0,0,0,0,0,54,1,54,0,54,16,54,0
Shared Hospital Laboratory, 37,863,71,863,0,2023-09-16,0,0,0,0,863,15,861,0,0,0,0,8,861,10,862,0,862,81,862,5
St. Joseph's - Hamilton, 37,1542,188,1250,0,2023-09-16,0,2,2,0,1250,16,1250,0,0,2,0,0,1250,6,1250,6,1250,134,0,0
St. Joseph's - London, 37,N.R.,N.R.,N.R.,N.R.,2023-09-16,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
Territories, 37,149,15,92,0,2023-09-16,0,0,0,0,92,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,7,1,N.C.,N.C.
UHN / Mount Sinai Hospital, 37,948,60,549,0,2023-09-16,0,1,1,0,549,0,25,0,0,0,0,0,25,1,25,0,25,2,25,0
Yukon, 37,56,5,27,0,2023-09-16,0,0,0,0,27,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
