province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Thunder Bay, 40,83,40,52,0,0,0,0,0,52,0,20,0,0,0,0,2,20,0,20,0,20,2,20,1
P.H.O.L. - Timmins, 40,19,1,17,0,0,0,0,0,17,0,17,0,0,0,0,0,17,0,17,0,17,2,17,0
P.H.O.L. - Toronto, 40,739,280,1033,5,4,0,8,0,1033,11,881,0,0,0,0,23,882,5,881,3,881,213,881,1
Prairies, 40,9130,1460,4932,19,1,6,26,6,4662,17,832,0,0,0,0,0,832,11,877,3,823,210,878,3
Prince Edward Island, 40,191,23,38,0,0,0,0,0,38,0,10,0,0,0,1,0,10,0,0,0,10,6,10,0
Province of Ontario, 40,9349,1646,6456,7,10,4,20,0,6456,126,4846,1,2,4,0,51,4847,32,4849,7,4849,716,3386,6
Province of Québec, 40,15695,3480,5616,1,0,19,20,2,4323,117,1163,12,4,2,5,0,1176,31,1165,9,N.C.,N.C.,1163,1
Québec-Chaudière-Appalaches, 40,2838,609,635,0,0,2,2,0,635,17,264,2,0,0,0,0,277,15,264,3,N.C.,N.C.,264,0
Région Nord-Est, 40,2013,491,1357,0,0,4,4,0,323,12,76,1,1,2,2,0,76,2,76,0,N.C.,N.C.,76,0
Saskatchewan, 40,2079,265,877,0,0,2,2,1,858,3,364,0,0,0,0,0,364,7,364,3,364,90,364,2
Sault Area Hospital, 40,177,21,117,0,0,0,0,0,117,0,89,0,0,1,0,0,89,1,89,0,89,17,89,0
Shared Hospital Laboratory, 40,1342,137,1342,1,3,0,4,0,1342,35,1343,0,0,0,0,8,1343,8,1346,1,1346,113,1346,2
Sick Kids Hospital - Toronto, 40,113,7,87,1,3,2,6,0,87,5,87,1,0,1,0,0,87,1,87,1,87,2,87,2
St. Joseph's - Hamilton, 40,1679,178,1463,0,0,1,1,0,1463,30,1463,0,0,2,0,0,1463,11,1463,1,1463,149,0,0
St. Joseph's - London, 40,978,178,73,0,0,0,0,0,73,2,73,0,0,0,0,1,73,0,73,0,73,16,73,0
Territories, 40,196,24,123,0,0,0,0,0,123,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,18,6,N.C.,N.C.
UHN / Mount Sinai Hospital, 40,1152,102,634,0,0,1,1,0,634,6,14,0,0,0,0,0,14,0,14,0,14,0,14,0
Yukon, 40,72,8,38,0,0,0,0,0,38,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
