Reporting Laboratory,Week,SARS-CoV-2 Tested,SARS-CoV-2 Positive,Flu Tested,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Tested,RSV Positive,HPIV Tested,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Tested,ADV Positive,HMPV Tested,HMPV Positive,EV/RV Tested,EV/RV Positive,HCoV Tested,HCoV Positive
Atlantic, 39,3106,708,1403,0,0,2,2,1,1392,11,401,1,0,0,4,0,401,4,401,1,401,106,401,0
Atlantic, 44,2965,531,1914,2,1,21,24,1,1904,41,492,2,2,1,6,0,492,10,492,1,492,84,476,1
Atlantic, 2,4333,519,3864,49,4,557,610,12,3383,310,924,1,4,4,7,0,924,14,924,13,924,39,924,28
Atlantic, 9,2992,210,2834,14,0,188,202,117,2712,174,587,2,1,1,2,0,587,25,587,22,587,37,587,38
Atlantic, 43,3111,565,1979,6,0,13,19,0,1970,35,474,1,0,1,5,0,474,13,474,3,474,76,473,2
Atlantic, 6,3499,308,3230,39,0,361,400,64,2949,297,782,0,2,2,2,0,782,27,782,23,782,69,782,42
Atlantic, 40,3544,865,1775,0,0,6,6,0,1761,5,467,5,1,1,9,0,467,11,457,2,467,110,467,1
Atlantic, 7,3185,284,2882,18,2,233,253,79,2610,212,619,1,3,2,2,0,619,8,619,18,619,39,619,39
Atlantic, 42,3493,688,2029,3,0,11,14,1,2015,14,498,1,2,1,7,0,498,6,498,1,498,110,498,1
Atlantic, 8,3098,255,2914,28,2,186,216,84,2715,195,632,1,1,0,1,0,632,13,632,25,632,37,632,46
Atlantic, 35,2110,357,984,0,0,0,0,0,969,0,362,1,0,1,3,0,362,7,362,0,362,75,362,0
Atlantic, 1,4471,567,4132,92,2,646,740,15,3630,331,812,0,5,1,8,0,812,9,812,15,812,36,812,24
Atlantic, 41,3583,743,1938,1,0,10,11,0,1927,16,491,1,1,1,5,0,491,8,484,0,491,113,491,1
Atlantic, 48,3535,802,2743,27,0,107,134,3,2549,150,676,1,7,1,7,0,676,22,676,6,676,66,676,5
Atlantic, 49,3654,737,2817,87,1,184,272,3,2665,205,668,0,4,2,5,0,668,19,668,8,668,45,668,8
Atlantic, 52,3889,578,3574,83,0,672,755,14,3131,289,686,1,4,0,5,0,686,12,686,16,686,34,686,11
Atlantic, 37,2519,478,1216,0,0,1,1,0,1201,3,401,5,2,0,3,0,401,8,401,2,401,95,401,2
Atlantic, 36,2346,474,1047,0,0,0,0,0,1047,6,355,2,1,0,3,0,355,7,355,1,355,90,355,2
Atlantic, 50,4065,756,3363,92,0,336,428,3,3004,254,730,0,4,0,10,0,730,16,730,13,730,57,730,3
Atlantic, 4,3784,359,3461,39,1,465,505,47,3067,307,834,1,1,1,3,0,834,24,834,16,834,39,834,44
British Columbia, 5,4419,468,4560,81,30,8,395,57,4360,322,1024,1,1,11,1,0,1024,38,1024,58,974,92,974,45
British Columbia, 44,3648,580,3458,29,5,3,86,4,3458,80,693,5,8,1,12,0,693,18,693,8,645,134,645,6
British Columbia, 40,4203,867,3847,24,4,0,62,2,3847,21,729,2,4,2,6,0,729,21,729,5,680,163,657,7
British Columbia, 37,3102,633,2568,14,4,0,34,1,2567,9,624,5,2,2,7,0,624,13,624,1,593,120,593,1
British Columbia, 8,3869,476,4061,40,20,5,235,68,3893,170,835,3,1,16,2,0,835,27,835,71,801,94,801,71
British Columbia, 3,4142,447,4326,75,19,7,423,15,4143,279,933,0,5,4,4,0,933,27,933,42,898,96,898,31
British Columbia, 36,2639,439,2066,20,3,1,31,2,2050,5,495,2,1,3,2,0,495,17,495,2,466,80,466,2
British Columbia, 43,3268,483,3028,18,2,0,44,3,3028,52,660,6,3,1,8,0,660,20,660,5,628,145,628,3
British Columbia, 7,3725,407,3853,45,24,6,262,50,3693,188,840,3,8,13,3,0,840,28,840,64,799,112,799,52
British Columbia, 52,4263,443,5259,194,17,2,988,13,5103,481,1100,6,9,13,5,0,1100,53,1100,51,1064,130,1064,32
British Columbia, 35,2648,475,2133,23,11,3,52,0,2133,7,612,1,2,0,9,0,612,16,612,1,585,91,585,1
British Columbia, 42,3734,633,3324,18,0,0,36,4,3324,41,634,2,3,2,5,0,634,20,634,6,596,104,596,1
British Columbia, 41,4045,765,3803,11,0,1,28,1,3803,36,734,5,2,3,6,0,734,16,734,10,693,160,693,0
British Columbia, 50,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
British Columbia, 45,3544,506,3436,51,5,3,136,5,3435,124,763,9,13,7,9,0,763,11,763,7,722,155,722,6
British Columbia, 1,5308,500,5337,245,20,2,778,21,5107,504,945,4,7,9,6,0,945,46,945,59,913,93,913,36
British Columbia, 2,4862,593,4866,118,22,7,482,16,4640,364,1035,2,5,9,5,0,1033,27,1033,44,996,102,996,33
British Columbia, 6,3936,414,3988,58,20,8,316,48,3805,247,861,4,6,16,3,0,861,56,861,65,810,102,810,55
British Columbia, 38,3216,724,2910,10,3,0,43,0,2910,15,758,3,2,1,5,0,758,8,758,11,729,178,729,4
British Columbia, 39,3891,911,3588,16,3,0,49,2,3588,20,736,2,1,1,3,0,736,15,736,10,705,180,705,1
British Columbia, 48,3636,371,3675,85,21,4,384,8,3622,231,834,9,10,2,5,0,834,26,834,22,810,129,810,17
British Columbia, 46,3237,383,3132,39,14,5,111,3,3132,129,704,10,7,3,5,0,704,32,704,17,664,127,664,4
British Columbia, 4,4467,522,4601,128,21,11,486,41,3642,327,894,0,2,8,3,0,894,31,894,42,859,74,859,35
British Columbia, 9,3973,457,4148,31,26,5,220,79,4013,177,1002,1,7,15,3,0,1002,30,1002,75,961,138,961,55
British Columbia, 49,4272,440,3590,87,12,4,471,4,3475,325,746,1,6,4,5,0,746,27,746,7,695,123,695,16
British Columbia, 47,3385,403,3461,84,17,3,218,3,3389,179,852,7,12,2,9,0,856,33,856,26,828,129,828,8
CANADA, 42,39259,6975,22389,69,11,59,153,15,20844,518,7993,13,11,17,19,65,8000,118,8039,40,6944,892,6410,9
CANADA, 49,46500,8112,32760,1449,178,2320,4547,88,29587,2223,10840,13,18,38,19,65,10915,206,10897,131,9221,543,8664,97
CANADA, 48,43385,7876,31048,1014,115,1638,3009,68,28621,2032,10904,28,27,24,21,66,10961,234,10950,103,9308,631,9109,68
CANADA, 52,45408,7109,40536,1582,331,4698,7226,214,36345,2647,12440,11,19,57,15,61,10446,178,12395,218,10427,475,9891,247
CANADA, 5,36727,3436,34104,317,120,3054,3783,493,29788,1730,10790,9,8,82,4,58,10833,176,10792,246,8943,436,8745,455
CANADA, 43,37246,6676,22025,91,19,102,233,21,20753,676,8425,20,9,15,20,41,8438,127,7843,41,7356,920,6914,23
CANADA, 1,47644,6901,41458,1359,419,3958,5901,247,36836,2567,12794,12,16,65,18,80,10917,162,12732,267,10667,496,10252,312
CANADA, 4,36924,3751,34655,404,87,3060,3884,360,29388,1738,10541,4,5,48,8,55,10593,164,10570,205,8771,366,8641,446
CANADA, 7,33895,2759,32746,217,91,2602,3099,685,27813,1247,10283,8,11,64,6,65,10330,127,10322,297,8426,521,8396,658
CANADA, 6,34561,3033,32439,279,91,2707,3302,538,28292,1467,10260,10,9,58,5,72,10305,182,10265,259,8381,507,8310,573
CANADA, 44,37956,6712,24183,199,35,248,523,21,22822,924,9095,27,17,19,28,42,9113,158,8002,48,8014,848,7353,29
CANADA, 3,38152,4337,34756,447,215,2719,3576,269,30421,1840,11135,3,11,44,11,50,11172,124,11154,238,9287,429,9233,360
CANADA, 46,41355,7772,27368,738,81,968,1811,38,25451,1502,9659,34,12,25,20,48,9667,197,9652,76,8403,725,7997,48
CANADA, 2,44057,5734,39214,729,325,3215,4403,219,34310,2134,12445,12,14,55,15,56,10645,139,12411,171,10516,449,10144,314
CANADA, 50,41700,7796,30444,1552,191,2595,4661,107,26712,1885,8891,10,12,21,17,68,8976,196,8953,116,7361,374,8829,127
CANADA, 47,42135,8137,28421,835,86,1111,2115,28,26160,1815,10227,23,21,16,30,70,10270,196,10286,108,8797,653,8423,56
CANADA, 45,38465,6986,24911,327,39,606,1038,33,23247,1220,8938,26,28,17,27,46,8954,132,8960,53,7834,836,7302,31
CANADA, 35,21886,3305,13360,36,19,18,84,9,12464,76,5751,17,8,11,26,55,5755,94,5652,20,4883,612,4573,13
CANADA, 38,35767,6665,19666,32,11,27,94,4,18368,201,7888,28,11,11,24,68,7899,73,7944,31,6750,1353,6546,27
CANADA, 37,30976,5140,17363,26,8,25,73,6,16177,124,6890,25,15,10,15,48,6908,102,6927,25,5836,1056,5646,10
CANADA, 39,40336,7892,20939,47,7,18,99,19,19663,222,8302,15,8,12,16,60,8288,98,8355,42,7171,1343,6701,17
CANADA, 41,38153,6682,21711,26,7,44,92,5,20306,364,7586,14,6,12,17,47,7620,103,7632,33,5088,942,6142,16
CANADA, 40,42117,8342,22749,51,15,35,134,10,21172,286,8037,20,11,9,20,51,8051,106,8077,26,6837,1205,6551,18
CANADA, 9,32915,2319,31343,179,88,1712,2144,1250,27468,1042,10000,10,11,120,8,92,10058,168,9994,395,8189,524,8168,596
CANADA, 36,28182,4472,15028,40,10,11,62,9,13994,96,6022,11,11,9,14,45,6032,90,6059,23,5126,759,4896,19
CANADA, 8,33570,2542,32760,190,64,2221,2648,998,28436,1276,10006,7,7,88,4,71,10073,128,9991,319,8200,512,8094,672
Centre-du-Québec, 4,2506,220,1405,0,0,282,282,5,892,48,26,0,0,1,0,0,26,1,26,2,N.C.,N.C.,26,5
Centre-du-Québec, 43,2407,496,513,0,0,6,6,0,510,25,39,0,2,0,0,0,39,4,39,0,N.C.,N.C.,39,0
Centre-du-Québec, 37,2103,478,242,0,0,0,0,1,241,5,24,0,1,0,1,0,24,1,24,0,N.C.,N.C.,24,0
Centre-du-Québec, 48,2762,538,1155,0,0,51,51,1,798,122,59,0,0,0,1,0,59,3,59,4,N.C.,N.C.,67,0
Centre-du-Québec, 49,2933,706,1130,0,0,83,83,0,774,123,51,0,1,1,1,0,51,2,51,2,N.C.,N.C.,52,3
Centre-du-Québec, 8,2356,106,2244,0,0,406,406,67,1082,65,43,0,0,0,0,0,43,1,43,1,N.C.,N.C.,43,1
Centre-du-Québec, 47,2583,513,906,0,0,27,27,2,549,85,47,1,0,0,1,0,47,5,47,2,N.C.,N.C.,48,0
Centre-du-Québec, 5,2496,206,1411,0,0,324,324,15,899,36,32,0,0,0,0,0,32,5,32,1,N.C.,N.C.,32,2
Centre-du-Québec, 44,2152,429,509,0,0,3,3,0,507,39,38,2,1,2,0,0,38,2,38,0,N.C.,N.C.,38,0
Centre-du-Québec, 46,2573,486,901,0,0,17,17,1,556,95,55,0,0,1,0,0,55,3,55,2,N.C.,N.C.,57,1
Centre-du-Québec, 38,2314,540,418,0,0,0,0,0,418,12,32,3,0,0,0,0,32,0,32,2,N.C.,N.C.,32,0
Centre-du-Québec, 39,2525,517,366,0,0,1,1,1,364,11,20,0,0,0,0,0,20,0,20,1,N.C.,N.C.,20,0
Centre-du-Québec, 6,2450,157,1451,0,0,328,328,11,928,44,33,0,0,0,0,0,33,1,33,1,N.C.,N.C.,34,10
Centre-du-Québec, 40,2581,559,573,0,0,0,0,0,573,12,30,0,0,0,1,0,30,2,30,0,N.C.,N.C.,30,0
Centre-du-Québec, 45,2247,427,810,0,0,6,6,0,545,59,50,0,1,0,0,0,50,2,50,2,N.C.,N.C.,51,0
Centre-du-Québec, 50,3317,906,1310,0,0,130,130,1,863,99,69,2,0,2,0,0,69,2,69,5,N.C.,N.C.,74,1
Centre-du-Québec, 7,2504,134,2306,0,0,500,500,42,966,48,45,0,0,0,0,0,45,3,45,6,N.C.,N.C.,45,3
Centre-du-Québec, 3,2445,291,1322,0,0,196,196,0,882,53,38,0,0,1,0,0,38,0,38,1,N.C.,N.C.,40,4
Centre-du-Québec, 35,1507,261,195,0,0,1,1,0,193,3,28,2,1,0,1,0,28,1,28,0,N.C.,N.C.,28,1
Centre-du-Québec, 1,3153,588,781,0,0,110,110,0,775,45,24,0,0,1,0,0,24,1,24,1,N.C.,N.C.,24,1
Centre-du-Québec, 42,2222,435,478,0,0,2,2,1,475,22,36,3,0,0,0,0,36,3,36,1,N.C.,N.C.,36,0
Centre-du-Québec, 9,2184,103,2070,0,0,284,284,89,1024,57,33,0,0,1,0,0,33,4,33,3,N.C.,N.C.,34,2
Centre-du-Québec, 52,3219,715,715,0,0,133,133,1,708,55,35,0,0,2,0,0,35,0,35,2,N.C.,N.C.,35,2
Centre-du-Québec, 41,2130,428,451,0,0,2,2,1,450,21,25,0,0,1,0,0,25,2,25,0,N.C.,N.C.,25,0
Centre-du-Québec, 2,3033,500,1586,0,0,211,211,3,1012,53,25,0,0,1,1,0,25,2,25,0,N.C.,N.C.,26,0
Centre-du-Québec, 36,1831,370,204,0,0,0,0,0,204,3,38,1,0,1,0,0,38,1,38,0,N.C.,N.C.,38,0
EORLA, 38,1174,110,417,0,0,1,1,0,417,21,31,0,0,0,0,0,31,0,31,0,31,9,31,0
EORLA, 46,1747,288,669,0,0,33,33,4,699,92,33,2,0,0,2,0,33,2,33,0,33,10,33,1
EORLA, 35,908,89,305,1,0,0,1,0,305,8,14,0,0,0,0,0,14,0,14,0,14,1,14,0
EORLA, 8,939,67,540,0,0,56,56,22,540,9,39,0,0,1,0,0,39,2,39,4,39,8,39,7
EORLA, 5,1094,92,592,0,0,80,80,9,592,17,50,0,0,0,0,0,50,2,50,1,50,6,50,1
EORLA, 2,1565,178,857,0,0,102,102,7,857,37,61,0,0,1,0,0,61,0,61,1,61,3,61,0
EORLA, 3,1134,97,598,0,0,66,66,3,598,11,41,0,0,2,0,0,41,0,41,0,41,4,41,4
EORLA, 7,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
EORLA, 1,1299,169,761,0,0,126,126,9,761,28,59,0,0,1,1,0,59,0,59,2,59,10,59,4
EORLA, 50,1836,287,801,0,0,128,128,4,801,48,45,0,0,0,0,0,45,1,45,0,45,5,45,0
EORLA, 48,1744,259,762,0,0,77,77,1,762,87,40,0,0,0,0,0,40,0,40,0,40,5,40,0
EORLA, 9,1084,69,559,0,0,54,54,33,559,10,43,0,1,5,0,0,43,0,43,5,43,5,43,1
EORLA, 37,1075,113,353,0,0,0,0,0,353,12,47,0,0,1,0,0,47,0,47,0,47,13,47,0
EORLA, 36,1135,129,341,0,0,1,1,0,341,9,21,0,1,0,0,0,21,0,21,0,21,4,21,0
EORLA, 49,1740,278,784,0,0,101,101,2,784,71,41,0,0,0,0,0,41,0,41,0,41,7,41,1
EORLA, 52,1277,184,806,0,0,181,181,3,806,43,47,0,0,1,0,0,47,2,47,1,47,7,47,1
EORLA, 39,1279,148,439,0,0,0,0,1,439,26,26,0,0,0,0,0,1,0,26,0,26,5,26,0
EORLA, 4,1267,125,730,0,0,82,82,11,730,16,55,0,0,1,0,0,55,0,55,0,55,8,55,1
EORLA, 47,1431,255,690,0,0,31,31,0,690,116,26,0,0,0,0,0,26,0,26,0,26,7,26,0
EORLA, 41,1344,137,455,0,0,4,4,0,455,32,40,0,0,0,1,0,40,0,40,0,40,12,40,0
EORLA, 44,1483,170,564,0,0,1,1,0,564,75,36,0,0,0,0,0,36,0,36,0,36,8,36,0
EORLA, 43,1360,156,499,0,0,4,4,0,499,70,35,0,0,0,0,0,35,0,35,0,35,9,35,0
EORLA, 42,1491,202,534,0,0,3,3,3,534,61,34,0,0,1,0,0,34,0,34,1,34,9,34,1
EORLA, 6,1066,71,618,0,0,63,63,11,618,13,46,0,1,1,0,0,46,0,46,0,46,4,46,0
EORLA, 45,1530,234,618,0,0,11,11,0,618,105,44,0,0,0,0,0,44,1,44,0,44,10,44,0
EORLA, 40,1289,144,478,0,0,0,0,0,478,28,26,0,2,0,0,0,26,1,26,0,26,11,26,0
Manitoba, 1,1943,194,1335,1,9,167,177,11,1335,100,133,0,0,0,0,0,133,4,156,6,133,13,156,4
Manitoba, 8,1366,159,1028,0,0,14,14,22,1028,63,93,0,1,2,0,0,93,2,97,8,93,10,97,7
Manitoba, 38,1624,329,1200,0,0,3,3,1,1200,0,87,0,1,0,4,0,87,3,145,0,87,44,145,0
Manitoba, 40,1532,263,1200,0,0,2,2,0,1200,2,33,0,0,0,0,0,33,1,79,0,33,25,79,0
Manitoba, 42,1664,280,1347,0,0,7,7,0,1347,9,90,0,0,0,5,0,90,1,131,1,90,31,131,0
Manitoba, 44,1635,355,1308,0,1,6,7,0,1308,7,97,0,0,0,5,0,97,8,126,0,97,21,126,0
Manitoba, 5,1481,126,1152,0,1,27,28,11,1152,129,113,0,3,1,0,0,113,3,124,5,113,19,124,10
Manitoba, 3,1560,122,1227,0,14,74,88,8,1227,100,105,0,0,0,1,0,105,3,128,11,105,8,128,6
Manitoba, 36,1284,203,1044,0,0,1,1,0,1044,0,59,0,2,0,2,0,59,4,97,0,59,17,97,1
Manitoba, 7,1472,160,1171,1,0,16,17,14,1171,102,75,0,0,3,0,0,75,1,102,5,75,11,102,8
Manitoba, 4,1555,120,1248,1,3,49,53,6,1248,90,87,0,0,0,0,0,87,1,115,13,87,6,115,4
Manitoba, 37,1270,183,1006,0,0,2,2,2,1006,0,66,0,0,2,1,0,66,6,102,0,66,27,102,0
Manitoba, 47,1757,411,1368,1,3,80,84,0,1368,28,106,0,0,1,6,0,106,2,143,1,106,12,143,1
Manitoba, 52,2116,221,1554,0,21,305,326,15,1554,96,144,0,0,0,0,0,144,3,143,9,144,17,143,4
Manitoba, 43,1504,280,1083,0,0,4,4,0,1083,8,80,0,1,0,3,0,80,5,118,1,80,25,118,0
Manitoba, 45,1598,398,1182,0,1,29,30,0,1182,14,69,0,0,0,1,0,69,0,108,1,69,16,108,1
Manitoba, 6,1483,159,1128,0,0,14,14,17,1128,103,104,0,0,0,0,0,104,0,124,11,104,14,124,7
Manitoba, 35,1144,154,942,0,0,2,2,0,942,4,49,0,0,0,1,0,49,6,72,0,49,21,72,0
Manitoba, 9,1462,165,969,0,0,13,13,23,969,46,70,0,0,1,0,0,70,2,85,7,70,9,85,14
Manitoba, 39,1714,335,1265,0,0,0,0,2,1265,1,68,0,1,2,3,0,68,4,121,0,68,35,121,1
Manitoba, 50,2126,313,1499,2,28,244,274,4,1499,47,144,0,1,0,0,0,144,10,155,4,144,10,155,6
Manitoba, 41,1513,240,1152,0,1,5,6,0,1152,0,72,0,0,0,2,0,72,3,106,0,72,31,106,1
Manitoba, 48,1845,314,1436,0,9,137,146,2,1436,35,109,0,0,1,4,0,109,11,132,1,109,19,132,2
Manitoba, 46,1771,443,1386,0,0,77,77,0,1386,11,85,0,0,0,1,0,85,5,127,1,85,16,127,0
Manitoba, 49,2055,320,1407,0,14,248,262,2,1407,44,109,0,0,0,1,0,109,7,119,10,109,8,119,3
Manitoba, 2,1805,142,1391,4,10,120,134,4,1391,104,117,0,0,0,0,0,117,4,135,12,117,7,135,5
Montréal-Laval, 48,3750,841,1989,0,0,82,82,2,1583,183,865,5,3,5,1,0,865,17,866,10,N.C.,N.C.,865,7
Montréal-Laval, 37,3315,513,1299,0,0,8,8,1,1159,17,686,7,3,1,3,0,686,13,686,6,N.C.,N.C.,686,1
Montréal-Laval, 4,2511,239,3767,0,0,623,623,11,1918,74,908,0,0,2,1,0,908,17,911,12,N.C.,N.C.,908,46
Montréal-Laval, 6,2221,161,3403,0,0,498,498,15,1784,82,920,0,0,5,0,0,920,22,920,17,N.C.,N.C.,920,90
Montréal-Laval, 43,2687,419,1251,0,0,6,6,1,1100,84,657,4,1,5,2,0,657,20,663,10,N.C.,N.C.,657,4
Montréal-Laval, 50,4103,1008,2563,0,0,243,243,1,1741,189,787,0,0,4,0,0,787,16,794,16,N.C.,N.C.,787,14
Montréal-Laval, 40,3872,769,1446,0,0,6,6,0,1264,44,759,9,3,0,2,0,759,11,761,5,N.C.,N.C.,759,1
Montréal-Laval, 52,3598,717,4126,0,1,563,564,1,2250,148,1038,1,2,7,1,0,1038,29,1044,18,N.C.,N.C.,1038,32
Montréal-Laval, 42,3026,450,1307,0,0,5,5,0,1164,75,683,1,2,5,0,0,683,15,683,7,N.C.,N.C.,683,5
Montréal-Laval, 36,2916,467,1074,0,0,2,2,1,986,19,564,2,3,3,4,0,564,8,564,6,N.C.,N.C.,564,6
Montréal-Laval, 49,3725,845,2237,0,0,145,145,3,1564,170,858,2,2,5,1,0,858,19,866,21,N.C.,N.C.,858,15
Montréal-Laval, 8,2410,136,3303,1,1,359,361,35,1970,89,986,1,0,20,0,0,986,15,988,25,N.C.,N.C.,986,94
Montréal-Laval, 45,2562,437,1385,0,0,13,13,1,1188,108,644,3,2,2,1,0,644,12,644,17,N.C.,N.C.,644,4
Montréal-Laval, 39,3697,642,1255,0,0,7,7,0,1145,21,715,6,2,2,1,0,715,10,716,5,N.C.,N.C.,715,5
Montréal-Laval, 41,3126,470,1331,0,0,5,5,0,1215,46,734,5,3,2,0,0,734,18,737,9,N.C.,N.C.,734,7
Montréal-Laval, 2,3242,501,3889,1,0,485,486,7,2113,128,968,1,1,4,0,0,968,22,971,13,N.C.,N.C.,968,28
Montréal-Laval, 9,2205,86,3095,0,0,304,304,41,2014,66,958,1,0,16,0,0,958,14,960,43,N.C.,N.C.,958,70
Montréal-Laval, 38,3463,541,1386,0,0,4,4,0,1267,28,769,13,3,3,2,0,769,5,771,7,N.C.,N.C.,769,7
Montréal-Laval, 44,2636,361,1322,0,0,9,9,1,1159,96,651,5,3,4,1,0,651,17,655,10,N.C.,N.C.,651,3
Montréal-Laval, 46,3137,591,1603,0,0,24,24,2,1342,142,735,8,1,3,0,0,735,29,736,22,N.C.,N.C.,735,11
Montréal-Laval, 1,3524,629,4014,0,0,514,514,12,2130,147,1001,3,0,7,0,0,1001,18,1003,26,N.C.,N.C.,1001,22
Montréal-Laval, 35,2919,458,1056,0,0,4,4,1,960,7,550,8,0,2,3,0,550,7,551,4,N.C.,N.C.,550,2
Montréal-Laval, 3,2745,312,3647,0,0,435,435,9,1945,109,974,0,1,5,1,0,974,15,974,17,N.C.,N.C.,974,44
Montréal-Laval, 7,2468,146,3483,1,0,469,470,14,1916,83,986,0,0,8,0,0,986,23,988,26,N.C.,N.C.,986,88
Montréal-Laval, 5,2358,189,3626,0,0,559,559,7,1910,78,987,2,0,6,0,0,987,19,989,23,N.C.,N.C.,987,47
Montréal-Laval, 47,3082,649,1732,0,0,37,37,1,1367,180,756,1,3,2,0,0,756,21,760,21,N.C.,N.C.,756,9
Montérégie, 35,1046,210,568,0,0,1,1,2,550,7,6,0,0,0,0,0,6,0,6,0,N.C.,N.C.,6,0
Montérégie, 50,1918,467,1385,0,0,118,118,2,1315,94,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
Montérégie, 52,1981,406,2079,0,0,289,289,1,2033,95,6,0,0,0,0,0,6,0,6,1,N.C.,N.C.,6,0
Montérégie, 2,1767,292,1882,0,0,222,222,3,1851,114,9,0,0,0,0,0,9,0,9,0,N.C.,N.C.,9,0
