province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Toronto, 10,538,23,943,11,2024-03-09,8,20,38,37,943,11,838,0,0,0,0,41,838,12,838,78,838,46,838,114
Prairies, 10,7807,607,6436,44,2024-03-09,11,21,83,402,6038,221,1499,6,2,44,0,0,1499,27,1464,28,1492,113,1519,79
Prince Edward Island, 10,223,10,198,0,2024-03-09,0,15,15,21,198,21,25,0,0,1,0,0,25,1,25,5,25,4,25,1
Province of Ontario, 10,6904,309,6083,74,2024-03-09,26,217,308,233,6083,54,4814,1,0,37,0,89,4814,33,4823,213,4823,223,3174,262
Province of Québec, 10,9401,325,10764,1,2024-03-09,0,946,947,567,7368,301,1670,0,1,28,1,0,1695,29,1666,91,N.C.,N.C.,1507,103
Québec-Chaudière-Appalaches, 10,1390,45,1852,0,2024-03-09,0,187,187,223,1730,79,610,0,0,8,1,0,635,9,610,41,N.C.,N.C.,447,31
Région Nord-Est, 10,1447,51,1600,0,2024-03-09,0,95,95,93,756,64,83,0,0,2,0,0,83,2,78,7,N.C.,N.C.,83,9
Saskatchewan, 10,1609,109,1171,0,2024-03-09,0,7,7,126,998,53,383,3,0,6,0,0,383,7,383,21,383,26,383,21
Sault Area Hospital, 10,179,17,106,5,2024-03-09,1,0,6,2,106,2,87,1,0,2,0,0,87,0,87,3,87,3,87,9
Shared Hospital Laboratory, 10,1867,39,1447,22,2024-03-09,5,11,38,49,1447,7,1434,0,0,0,0,20,1434,7,1443,27,1443,34,1443,27
Sick Kids Hospital - Toronto, 10,N.R.,N.R.,N.R.,N.R.,2024-03-09,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 10,1725,53,1649,0,2024-03-09,0,96,96,66,1649,12,1649,0,0,31,0,0,1649,11,1649,74,1649,78,0,0
St. Joseph's - London, 10,N.R.,N.R.,N.R.,N.R.,2024-03-09,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
Territories, 10,104,6,91,1,2024-03-09,2,0,4,13,90,22,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,66,4,66,1,66,3,N.C.,N.C.
UHN / Mount Sinai Hospital, 10,828,28,571,0,2024-03-09,0,10,10,4,571,9,77,0,0,3,0,0,77,0,77,1,77,3,77,5
Yukon, 10,38,3,25,1,2024-03-09,2,0,4,0,24,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
