province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Nunavut, 47,103,8,68,0,2023-11-25,0,12,12,0,68,13,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 47,1631,451,496,0,2023-11-25,0,10,10,0,495,68,14,0,0,0,0,0,14,1,14,0,N.C.,N.C.,14,0
P.H.O.L. - Hamilton, 47,357,180,281,3,2023-11-25,0,1,2,0,281,20,177,0,0,0,0,4,177,2,177,1,177,16,177,1
P.H.O.L. - Kingston, 47,217,108,153,1,2023-11-25,0,0,1,0,153,14,92,0,0,0,0,1,92,1,92,0,92,10,92,0
P.H.O.L. - London, 47,683,279,453,13,2023-11-25,1,0,8,0,453,55,355,0,0,0,0,8,355,3,355,2,355,21,355,1
P.H.O.L. - Orillia, 47,8,2,28,1,2023-11-25,0,0,1,0,28,3,28,0,0,0,0,1,28,0,28,1,28,1,28,0
P.H.O.L. - Ottawa, 47,352,165,206,16,2023-11-25,4,0,5,0,205,8,125,0,0,0,0,0,125,0,125,0,125,8,125,3
P.H.O.L. - Peterborough, 47,92,36,75,3,2023-11-25,0,0,3,0,75,19,75,0,0,0,0,6,75,1,75,0,75,10,75,1
P.H.O.L. - Sault Ste. Marie, 47,13,9,13,0,2023-11-25,0,0,0,0,13,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0
P.H.O.L. - Sudbury, 47,32,27,31,0,2023-11-25,0,0,0,0,31,0,11,0,0,0,0,0,11,0,11,0,11,2,11,0
P.H.O.L. - Thunder Bay, 47,87,28,50,0,2023-11-25,0,0,0,0,50,0,41,0,0,0,0,6,41,0,41,0,41,1,41,0
P.H.O.L. - Timmins, 47,26,5,21,0,2023-11-25,0,0,0,0,21,5,14,0,0,0,0,0,14,0,14,0,14,0,14,0
P.H.O.L. - Toronto, 47,841,355,1185,39,2023-11-25,10,11,51,0,1185,59,1059,0,0,0,0,33,1063,17,1059,8,1059,69,1059,7
Prairies, 47,11320,1768,7682,612,2023-11-25,35,759,1406,18,7243,226,1626,6,3,5,7,0,1625,24,1651,13,1620,109,1663,9
Prince Edward Island, 47,256,55,117,0,2023-11-25,0,1,1,0,117,2,11,0,0,0,1,0,11,0,11,0,11,3,11,0
Province of Ontario, 47,10884,2413,8072,115,2023-11-25,34,107,224,2,8070,699,5699,2,1,6,5,70,5703,61,5707,25,5707,335,3969,22
Province of Québec, 47,12867,2761,6553,0,2023-11-25,0,134,134,4,4963,585,1430,6,4,3,1,0,1444,58,1430,37,N.C.,N.C.,1343,13
Québec-Chaudière-Appalaches, 47,2171,462,1118,0,2023-11-25,0,8,8,0,1119,125,548,2,1,0,0,0,562,23,549,11,N.C.,N.C.,460,4
Région Nord-Est, 47,1544,311,1273,0,2023-11-25,0,23,23,0,429,39,56,2,0,1,0,0,56,7,51,3,N.C.,N.C.,56,0
Saskatchewan, 47,2983,448,2085,0,2023-11-25,0,618,618,4,1925,34,521,0,0,0,1,0,521,10,521,8,521,24,521,0
Sault Area Hospital, 47,227,50,139,3,2023-11-25,2,0,5,0,139,0,111,2,0,1,1,0,111,0,111,0,111,11,111,0
Shared Hospital Laboratory, 47,2132,261,1659,25,2023-11-25,15,6,46,0,1658,129,1644,0,0,0,0,11,1644,17,1652,5,1652,55,1652,6
Sick Kids Hospital - Toronto, 47,125,15,125,3,2023-11-25,2,5,10,0,125,24,125,0,1,0,4,0,125,2,125,0,125,36,125,3
St. Joseph's - Hamilton, 47,2018,269,1738,0,2023-11-25,0,44,44,0,1738,169,1738,0,0,5,0,0,1738,16,1738,8,1738,84,0,0
St. Joseph's - London, 47,897,175,498,0,2023-11-25,0,9,9,1,498,61,38,0,0,0,0,0,38,2,38,0,38,3,38,0
Territories, 47,189,12,132,4,2023-11-25,0,12,17,0,132,15,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,22,6,N.C.,N.C.
UHN / Mount Sinai Hospital, 47,1346,194,727,8,2023-11-25,0,0,8,1,727,17,30,0,0,0,0,0,30,0,30,0,30,1,30,0
Yukon, 47,64,3,42,0,2023-11-25,0,0,1,0,42,2,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
