province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Sudbury, 38,14,3,16,0,2023-09-23,0,0,0,0,16,0,16,0,0,0,0,0,16,0,16,0,16,2,16,0
P.H.O.L. - Thunder Bay, 38,72,33,30,0,2023-09-23,0,0,0,0,30,0,27,0,0,0,0,1,27,0,27,0,27,7,27,0
P.H.O.L. - Timmins, 38,25,6,18,0,2023-09-23,0,0,0,0,18,0,18,0,0,0,0,3,18,0,18,0,18,3,18,0
P.H.O.L. - Toronto, 38,714,218,928,8,2023-09-23,3,0,5,0,928,6,837,0,0,0,0,26,837,7,837,3,837,209,837,6
Prairies, 38,7903,1107,4992,12,2023-09-23,2,9,23,1,4783,14,1323,2,3,0,8,0,1323,22,1378,2,1313,308,1381,4
Prince Edward Island, 38,N.R.,N.R.,6,0,2023-09-23,0,0,0,0,6,0,5,0,0,0,0,0,5,0,5,0,5,3,5,0
Province of Ontario, 38,8385,1557,5550,10,2023-09-23,6,3,13,3,5550,72,4258,0,0,6,0,68,4257,26,4257,6,4257,741,2887,12
Province of Québec, 38,13457,2755,4732,0,2023-09-23,0,14,14,0,3650,82,1120,19,4,3,6,0,1132,12,1122,12,N.C.,N.C.,1120,7
Québec-Chaudière-Appalaches, 38,2446,502,506,0,2023-09-23,0,5,5,0,506,17,226,0,1,0,3,0,238,6,226,2,N.C.,N.C.,226,0
Région Nord-Est, 38,1678,314,1144,0,2023-09-23,0,1,1,0,283,3,66,1,0,0,1,0,66,0,66,1,N.C.,N.C.,66,0
Saskatchewan, 38,1676,166,755,0,2023-09-23,0,6,6,0,738,3,358,0,0,0,4,0,358,12,358,2,358,87,358,1
Sault Area Hospital, 38,89,12,72,0,2023-09-23,0,0,0,0,72,0,72,0,0,0,0,0,72,1,72,0,72,20,72,0
Shared Hospital Laboratory, 38,1010,119,1010,1,2023-09-23,3,0,4,0,1011,16,1010,0,0,0,0,11,1009,8,1009,0,1009,78,1009,3
St. Joseph's - Hamilton, 38,1754,245,1370,0,2023-09-23,0,2,2,3,1370,21,1370,0,0,6,0,0,1370,6,1370,2,1370,192,0,0
St. Joseph's - London, 38,744,93,52,0,2023-09-23,0,0,0,0,52,0,52,0,0,0,0,1,52,1,52,0,52,14,52,0
Territories, 38,177,22,94,0,2023-09-23,0,0,0,0,94,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,22,8,N.C.,N.C.
UHN / Mount Sinai Hospital, 38,946,86,529,0,2023-09-23,0,0,0,0,529,0,30,0,0,0,0,0,30,0,30,0,30,3,30,0
Yukon, 38,62,7,27,0,2023-09-23,0,0,0,0,27,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
