province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Province of Ontario, 19,6071,473,5591,23,2024-05-11,7,18,31,61,5590,19,4044,0,0,62,1,199,4044,30,4046,170,4046,324,2686,84
Province of Québec, 19,7300,361,8423,0,2024-05-11,0,55,55,383,5969,129,1639,1,0,86,0,0,1651,38,1638,86,N.C.,N.C.,1508,45
Québec-Chaudière-Appalaches, 19,1281,118,1496,0,2024-05-11,0,18,18,68,1437,42,645,0,0,11,0,0,657,13,645,37,N.C.,N.C.,513,18
Région Nord-Est, 19,1181,59,1206,0,2024-05-11,0,0,0,125,646,17,89,0,0,10,0,0,89,2,85,6,N.C.,N.C.,89,3
Saskatchewan, 19,1243,52,936,0,2024-05-11,0,6,6,46,831,13,342,3,0,28,2,0,342,5,342,9,342,41,342,16
Sault Area Hospital, 19,151,35,135,1,2024-05-11,0,0,1,0,135,0,118,0,0,3,0,0,118,0,118,3,118,6,118,0
Shared Hospital Laboratory, 19,1251,74,980,4,2024-05-11,0,0,4,8,980,0,977,0,0,0,0,18,977,5,979,15,979,39,979,3
Sick Kids Hospital - Toronto, 19,79,2,79,0,2024-05-11,0,0,0,3,79,0,79,0,0,3,0,0,79,1,79,3,79,16,79,4
St. Joseph's - Hamilton, 19,1447,40,1360,0,2024-05-11,0,7,7,22,1360,7,1360,0,0,53,0,0,1360,8,1360,43,1360,78,0,0
St. Joseph's - London, 19,494,19,371,0,2024-05-11,0,0,0,3,371,2,69,0,0,0,0,2,69,0,69,6,69,14,69,3
Territories, 19,233,28,213,1,2024-05-11,0,0,1,12,213,10,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,10,0,10,0,10,1,N.C.,N.C.
UHN / Mount Sinai Hospital, 19,906,38,630,0,2024-05-11,0,5,5,0,630,4,70,0,0,2,0,0,70,0,70,2,70,4,70,1
Yukon, 19,45,1,36,1,2024-05-11,0,0,1,4,36,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
