province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Sudbury, 41,22,12,33,0,0,0,0,0,31,0,16,0,0,0,0,1,16,0,16,0,16,6,16,0
P.H.O.L. - Thunder Bay, 41,51,21,33,0,0,0,0,0,33,0,16,0,0,0,0,1,16,0,16,0,16,2,16,0
P.H.O.L. - Timmins, 41,41,6,37,0,0,0,0,0,37,1,34,0,0,0,0,0,34,1,34,0,34,3,34,0
P.H.O.L. - Toronto, 41,505,201,1052,3,3,1,6,0,1052,10,951,0,0,0,0,23,951,6,951,5,951,216,951,3
Prairies, 41,9396,1553,4706,10,4,10,24,1,4396,23,491,1,0,0,3,0,491,8,525,2,490,108,525,3
Prince Edward Island, 41,303,45,75,0,0,1,1,0,75,0,11,0,0,0,0,0,11,0,11,0,11,7,11,0
Province of Ontario, 41,8340,1286,6171,4,3,12,18,0,6169,145,4778,0,0,5,1,47,4795,33,4795,10,3387,553,3341,4
Province of Québec, 41,12612,2308,4979,0,0,11,11,3,3897,144,1092,7,3,3,2,0,1109,38,1094,11,N.C.,N.C.,1092,8
Québec-Chaudière-Appalaches, 41,2290,401,608,0,0,2,2,0,608,18,261,1,0,0,0,0,278,12,261,2,N.C.,N.C.,261,1
Région Nord-Est, 41,1663,298,1211,0,0,0,0,0,257,7,47,1,0,0,1,0,47,5,46,0,N.C.,N.C.,47,0
Saskatchewan, 41,2293,341,918,0,0,5,5,0,887,7,390,0,0,0,1,0,390,5,390,2,390,73,390,1
Sault Area Hospital, 41,136,15,112,0,0,0,0,0,112,0,56,0,0,1,0,0,56,0,56,0,56,7,56,0
Shared Hospital Laboratory, 41,1408,179,1408,1,0,0,1,0,1408,39,1408,0,0,0,0,5,1408,9,1408,2,0,0,1408,0
Sick Kids Hospital - Toronto, 41,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 41,1692,176,1455,0,0,6,6,0,1455,35,1455,0,0,4,0,0,1455,9,1455,3,1455,138,0,0
St. Joseph's - London, 41,924,124,53,0,0,0,0,0,53,5,30,0,0,0,0,2,47,1,47,0,47,8,48,0
Territories, 41,177,27,114,0,0,0,0,0,114,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,27,8,N.C.,N.C.
UHN / Mount Sinai Hospital, 41,1012,66,619,0,0,1,1,0,619,2,24,0,0,0,0,0,24,0,24,0,24,2,24,0
Yukon, 41,46,6,26,0,0,0,0,0,26,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
