province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Peterborough, 8,35,3,46,0,2024-02-24,0,5,5,1,46,1,31,0,0,0,0,2,31,1,31,2,31,7,31,4
P.H.O.L. - Sault Ste. Marie, 8,23,0,32,3,2024-02-24,0,0,3,0,32,0,17,0,0,0,0,1,17,0,17,0,17,0,17,5
P.H.O.L. - Sudbury, 8,13,3,19,1,2024-02-24,0,0,1,1,19,0,13,0,0,0,0,1,13,0,13,0,13,0,13,3
P.H.O.L. - Thunder Bay, 8,34,6,32,2,2024-02-24,0,0,2,1,32,4,21,0,0,0,0,1,21,0,21,2,21,0,21,1
P.H.O.L. - Timmins, 8,47,19,60,1,2024-02-24,0,1,2,0,60,0,45,0,0,0,0,4,45,0,45,0,45,0,45,7
P.H.O.L. - Toronto, 8,374,48,960,17,2024-02-24,5,9,29,15,960,12,892,0,0,0,0,35,892,9,892,31,892,55,892,115
Prairies, 8,7315,673,6651,29,2024-02-24,15,22,70,353,6273,409,1613,1,4,25,0,0,1613,12,1541,39,1605,119,1617,113
Prince Edward Island, 8,181,19,170,0,2024-02-24,0,11,11,7,170,23,9,0,0,0,0,0,9,2,9,0,9,1,9,3
Province of Ontario, 8,8078,551,7190,92,2024-02-24,26,343,459,169,7190,82,5105,0,0,22,0,71,5105,41,5104,134,5104,255,3407,277
Province of Québec, 8,10927,558,11756,1,2024-02-24,1,1665,1667,309,8178,373,1821,2,1,25,1,0,1830,35,1821,50,N.C.,N.C.,1637,165
Québec-Chaudière-Appalaches, 8,1578,73,1973,0,2024-02-24,0,353,353,93,1837,76,673,1,0,4,0,0,682,12,673,22,N.C.,N.C.,489,53
Région Nord-Est, 8,1619,58,1751,0,2024-02-24,0,182,182,80,815,74,101,0,1,0,0,0,101,5,99,1,N.C.,N.C.,101,15
Saskatchewan, 8,1769,164,1363,0,2024-02-24,0,4,4,100,1205,109,462,1,0,8,0,0,462,1,462,30,462,37,462,36
Sault Area Hospital, 8,211,50,144,0,2024-02-24,2,0,2,2,144,15,121,0,0,0,0,0,121,1,121,3,121,3,121,11
Shared Hospital Laboratory, 8,1772,44,1434,29,2024-02-24,14,18,61,39,1434,8,1433,0,0,0,0,11,1433,5,1432,23,1432,28,1432,37
Sick Kids Hospital - Toronto, 8,113,4,109,2,2024-02-24,4,0,6,5,109,0,109,0,0,5,0,0,109,3,109,7,109,20,109,9
St. Joseph's - Hamilton, 8,1787,73,1697,0,2024-02-24,0,117,117,50,1697,18,1697,0,0,16,0,0,1697,14,1697,42,1697,89,0,0
St. Joseph's - London, 8,809,61,703,0,2024-02-24,0,57,57,23,703,8,60,0,0,0,0,1,60,1,60,1,60,11,60,6
Territories, 8,283,29,188,0,2024-02-24,0,0,1,15,187,47,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,58,0,58,0,58,7,N.C.,N.C.
UHN / Mount Sinai Hospital, 8,1014,60,638,0,2024-02-24,1,27,28,3,638,3,72,0,0,0,0,0,72,0,72,2,72,4,72,2
Yukon, 8,71,10,31,0,2024-02-24,0,0,1,1,30,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
