province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Ouest du Québec, 23,763,52,475,0,2024-06-08,0,0,0,2,475,4,18,0,0,1,0,0,18,1,18,1,N.C.,N.C.,18,1
P.H.O.L. - Hamilton, 23,26,6,35,0,2024-06-08,0,0,0,0,27,0,24,0,0,0,0,0,24,0,24,0,24,2,24,0
P.H.O.L. - Kingston, 23,129,27,101,0,2024-06-08,0,0,0,0,95,0,69,0,0,0,0,5,69,0,69,4,69,12,69,1
P.H.O.L. - London, 23,227,43,204,0,2024-06-08,0,0,0,0,204,0,186,0,0,0,0,22,186,3,186,5,186,31,186,0
P.H.O.L. - Orillia, 23,3,0,2,0,2024-06-08,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,2,0
P.H.O.L. - Ottawa, 23,97,16,98,0,2024-06-08,0,0,0,0,98,0,79,0,0,0,0,10,79,0,79,4,79,6,79,0
P.H.O.L. - Peterborough, 23,55,1,94,0,2024-06-08,0,1,1,0,92,1,59,0,0,0,0,2,59,4,59,1,59,9,59,0
P.H.O.L. - Sault Ste. Marie, 23,10,0,11,0,2024-06-08,0,0,0,0,11,0,8,0,0,0,0,4,8,0,8,0,8,0,8,0
P.H.O.L. - Sudbury, 23,6,0,9,0,2024-06-08,0,0,0,0,9,0,7,0,0,0,0,1,7,0,7,0,7,0,7,0
P.H.O.L. - Thunder Bay, 23,25,5,25,0,2024-06-08,0,0,0,0,23,0,21,0,0,0,0,4,21,0,21,0,21,2,21,0
P.H.O.L. - Timmins, 23,26,4,25,0,2024-06-08,0,1,1,0,25,0,21,0,0,0,0,0,21,1,21,3,21,2,21,0
P.H.O.L. - Toronto, 23,252,52,606,1,2024-06-08,2,0,1,0,603,0,586,0,0,0,0,61,586,6,586,23,586,72,586,15
Prairies, 23,5518,584,2719,2,2024-06-08,3,12,18,31,2460,9,1282,4,1,67,1,0,1282,18,1232,5,1269,169,1299,22
Prince Edward Island, 23,104,14,47,0,2024-06-08,0,0,0,0,47,0,9,0,0,1,0,0,9,0,9,0,9,3,9,0
Province of Ontario, 23,5387,375,4503,6,2024-06-08,2,10,16,9,4484,10,3458,2,0,47,1,118,3458,26,3457,68,3457,318,2152,28
Province of Québec, 23,5925,514,5596,0,2024-06-08,0,21,21,29,4424,41,1369,0,5,65,1,0,1373,39,1365,48,N.C.,N.C.,1261,19
Québec-Chaudière-Appalaches, 23,1163,134,1061,0,2024-06-08,0,3,3,4,1034,7,434,0,0,9,1,0,438,13,434,17,N.C.,N.C.,326,7
Région Nord-Est, 23,868,77,871,0,2024-06-08,0,2,2,8,514,4,123,0,0,14,0,0,123,10,119,3,N.C.,N.C.,123,1
Saskatchewan, 23,1144,87,825,0,2024-06-08,0,7,7,10,715,5,313,0,0,24,0,0,313,4,313,2,313,37,313,5
Sault Area Hospital, 23,62,4,54,1,2024-06-08,0,0,1,0,54,0,48,2,0,1,0,0,48,0,48,0,48,5,48,1
Shared Hospital Laboratory, 23,1102,59,859,3,2024-06-08,0,1,4,3,861,0,857,0,0,0,0,5,857,6,856,9,856,50,855,5
Sick Kids Hospital - Toronto, 23,N.R.,N.R.,N.R.,N.R.,2024-06-08,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 23,1389,62,1304,0,2024-06-08,0,4,4,5,1304,3,1304,0,0,42,0,0,1304,5,1304,14,1304,101,0,0
St. Joseph's - London, 23,338,20,124,0,2024-06-08,0,0,0,0,124,1,59,0,0,0,0,4,59,1,59,2,59,14,59,1
Territories, 23,222,19,176,0,2024-06-08,0,0,0,6,176,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,16,0,16,0,16,8,N.C.,N.C.
UHN / Mount Sinai Hospital, 23,894,34,587,1,2024-06-08,0,1,2,1,587,2,89,0,0,3,1,0,89,0,89,1,89,5,89,5
Yukon, 23,36,7,21,0,2024-06-08,0,0,0,1,21,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
