province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
P.H.O.L. - Kingston, 21,139,31,89,0,2024-05-25,0,0,0,0,89,0,59,0,0,0,0,5,59,0,59,9,59,6,59,2
P.H.O.L. - London, 21,207,35,195,0,2024-05-25,1,1,2,0,194,0,164,0,0,0,0,24,164,2,164,13,164,16,164,1
P.H.O.L. - Orillia, 21,19,9,10,0,2024-05-25,0,0,0,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0
P.H.O.L. - Ottawa, 21,121,47,92,0,2024-05-25,0,0,0,0,92,0,81,0,0,0,0,6,81,0,81,2,81,5,81,1
P.H.O.L. - Peterborough, 21,44,1,69,0,2024-05-25,0,0,0,0,69,1,43,0,0,0,0,8,43,2,43,2,43,7,43,0
P.H.O.L. - Sault Ste. Marie, 21,4,0,6,0,2024-05-25,0,0,0,0,6,0,5,0,0,0,0,0,5,0,5,0,5,0,5,0
P.H.O.L. - Sudbury, 21,6,0,11,0,2024-05-25,0,0,0,0,11,0,11,0,0,0,0,4,11,0,11,0,11,0,11,0
P.H.O.L. - Thunder Bay, 21,32,9,21,0,2024-05-25,1,0,1,0,21,0,17,0,0,0,0,1,17,0,17,0,17,2,17,0
P.H.O.L. - Timmins, 21,39,1,42,0,2024-05-25,0,0,0,0,42,0,32,0,0,0,0,9,32,0,32,2,32,4,32,1
P.H.O.L. - Toronto, 21,244,58,809,0,2024-05-25,4,0,4,2,807,0,760,0,0,0,0,99,760,9,760,32,760,83,760,31
Prairies, 21,5952,493,4528,13,2024-05-25,3,3,19,92,4279,24,1153,6,1,84,2,0,1153,11,1109,2,1140,154,1162,26
Prince Edward Island, 21,121,13,88,0,2024-05-25,0,0,0,0,88,0,11,0,0,4,0,0,11,2,11,0,11,5,11,0
Province of Ontario, 21,5432,432,4756,2,2024-05-25,6,12,20,16,4752,5,3799,0,0,67,1,175,3799,37,3801,98,3801,310,2504,55
Province of Québec, 21,6542,408,6677,0,2024-05-25,0,24,24,124,5197,102,1559,0,1,77,2,0,1570,37,1559,45,N.C.,N.C.,1445,28
Québec-Chaudière-Appalaches, 21,1299,108,1374,0,2024-05-25,0,5,5,18,1328,32,618,0,0,15,0,0,630,21,618,21,N.C.,N.C.,504,9
Région Nord-Est, 21,1035,62,1022,0,2024-05-25,0,3,3,44,527,11,103,0,0,16,0,0,103,4,102,4,N.C.,N.C.,103,2
Saskatchewan, 21,1118,65,778,0,2024-05-25,0,0,0,18,658,9,275,0,0,22,2,0,275,2,275,1,275,42,275,10
Sault Area Hospital, 21,86,7,74,0,2024-05-25,0,0,0,0,74,0,62,0,0,6,0,0,62,1,62,3,62,3,62,1
Shared Hospital Laboratory, 21,1185,72,932,0,2024-05-25,0,1,1,2,932,1,925,0,0,0,0,10,925,9,927,7,927,39,927,3
Sick Kids Hospital - Toronto, 21,96,4,95,0,2024-05-25,0,0,0,2,95,0,95,0,0,4,1,0,95,3,95,0,95,26,95,6
St. Joseph's - Hamilton, 21,1427,57,1297,0,2024-05-25,0,9,9,7,1297,2,1297,0,0,54,0,0,1297,8,1297,25,1297,90,0,0
St. Joseph's - London, 21,420,22,177,0,2024-05-25,0,0,0,0,177,0,52,0,0,0,0,7,52,0,52,0,52,11,52,2
Territories, 21,219,8,184,0,2024-05-25,0,0,1,9,184,6,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,17,1,17,1,17,4,N.C.,N.C.
UHN / Mount Sinai Hospital, 21,813,43,500,0,2024-05-25,0,0,0,2,500,0,111,0,0,2,0,0,111,0,111,1,111,5,111,5
Yukon, 21,35,0,27,0,2024-05-25,0,0,1,3,27,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
