province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Ouest du Québec, 5,1464,180,773,0,0,138,138,6,759,36,16,0,0,1,0,0,16,0,16,0,N.C.,N.C.,16,0
P.H.O.L. - Hamilton, 5,184,30,164,12,1,3,15,4,164,1,134,0,0,0,0,6,134,3,134,6,134,10,134,15
P.H.O.L. - Kingston, 5,139,17,79,3,0,4,7,0,79,4,56,0,0,0,0,0,56,0,56,1,56,2,56,2
P.H.O.L. - London, 5,393,89,314,15,1,8,24,6,314,16,251,0,0,0,0,16,251,0,251,2,251,4,251,15
P.H.O.L. - Orillia, 5,8,2,25,2,0,2,4,0,25,1,25,0,0,0,0,0,25,0,25,0,25,1,25,2
P.H.O.L. - Ottawa, 5,284,81,213,8,0,9,17,3,213,3,107,0,0,0,0,2,107,1,107,4,107,3,107,10
P.H.O.L. - Peterborough, 5,100,9,92,4,0,17,20,1,92,1,52,0,0,0,0,3,52,0,52,2,52,6,52,3
P.H.O.L. - Sault Ste. Marie, 5,21,7,33,1,3,2,6,0,33,6,25,0,0,0,0,1,25,0,25,0,25,1,25,2
P.H.O.L. - Sudbury, 5,19,1,33,6,0,4,10,0,33,2,29,0,0,0,0,0,29,0,29,1,29,0,29,0
P.H.O.L. - Thunder Bay, 5,50,6,44,2,0,0,2,0,43,2,36,0,0,0,0,0,36,0,36,3,36,1,36,0
P.H.O.L. - Timmins, 5,32,6,41,6,0,3,9,0,41,1,36,0,0,0,0,0,36,0,36,1,36,0,36,3
P.H.O.L. - Toronto, 5,577,156,1054,28,28,25,79,10,1054,17,959,0,0,0,0,20,959,17,959,22,959,35,959,114
Prairies, 5,8211,793,6985,46,30,39,134,219,6580,530,1617,3,4,27,1,0,1617,26,1585,49,1608,124,1628,58
Prince Edward Island, 5,256,12,244,0,0,44,44,3,244,35,20,1,0,0,0,0,20,3,20,1,20,6,20,0
Province of Ontario, 5,9023,880,7751,144,57,458,655,79,7749,164,5547,1,0,32,1,58,5547,41,5547,75,5547,181,3730,233
Province of Québec, 5,10994,943,11082,0,0,2069,2069,62,7748,386,1824,3,0,7,0,0,1831,46,1822,44,N.C.,N.C.,1635,81
Québec-Chaudière-Appalaches, 5,1678,127,1971,0,0,534,534,22,1858,97,704,1,0,0,0,0,711,17,704,17,N.C.,N.C.,515,30
Région Nord-Est, 5,1608,94,1723,0,0,308,308,7,744,73,74,0,0,0,0,0,74,4,70,3,N.C.,N.C.,74,2
Saskatchewan, 5,1814,147,1398,0,0,9,9,99,1231,118,435,2,0,4,1,0,435,15,435,44,435,28,435,19
Sault Area Hospital, 5,219,25,142,3,2,3,8,1,142,11,111,1,0,1,0,0,111,2,111,0,111,6,111,3
Shared Hospital Laboratory, 5,1939,79,1580,51,19,27,97,14,1579,22,1581,0,0,0,0,10,1581,6,1581,10,1581,18,1581,36
Sick Kids Hospital - Toronto, 5,124,9,111,3,3,0,6,0,111,6,111,0,0,5,0,0,111,0,111,3,111,21,111,9
St. Joseph's - Hamilton, 5,1947,128,1817,0,0,170,170,18,1817,28,1817,0,0,24,0,0,1817,9,1817,18,1817,56,0,0
St. Joseph's - London, 5,901,65,700,0,0,80,80,11,700,20,55,0,0,0,0,0,55,1,55,1,55,5,55,9
Territories, 5,172,10,134,2,0,0,3,3,132,23,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,36,2,36,1,36,2,N.C.,N.C.
UHN / Mount Sinai Hospital, 5,992,78,717,0,0,21,21,2,717,6,112,0,0,2,1,0,112,0,112,0,112,6,112,9
Yukon, 5,60,8,44,2,0,0,3,0,42,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
