province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Northwest Territories, 22,21,1,21,0,2024-06-01,0,0,0,0,21,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,21,0,21,0,22,5,N.C.,N.C.
Nova Scotia, 22,950,67,877,0,2024-06-01,0,0,0,4,789,4,29,0,0,1,0,0,29,0,29,1,29,5,29,1
Nunavut, 22,155,7,144,0,2024-06-01,0,0,0,1,144,2,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 22,696,52,438,0,2024-06-01,0,3,3,9,434,2,33,0,0,0,0,0,33,4,33,2,N.C.,N.C.,33,0
P.H.O.L. - Hamilton, 22,24,10,35,3,2024-06-01,4,0,3,0,33,0,33,0,0,0,0,1,33,1,33,0,33,8,33,0
P.H.O.L. - Kingston, 22,108,36,113,0,2024-06-01,0,0,0,0,113,0,86,0,0,0,0,5,86,0,86,5,86,10,86,2
P.H.O.L. - London, 22,250,35,240,0,2024-06-01,0,0,0,1,240,0,218,0,0,0,0,32,218,0,218,11,218,29,218,5
P.H.O.L. - Orillia, 22,3,0,3,0,2024-06-01,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0
P.H.O.L. - Ottawa, 22,141,42,88,0,2024-06-01,0,0,0,2,88,0,63,0,0,0,0,11,63,0,63,2,63,4,63,0
P.H.O.L. - Peterborough, 22,56,2,70,0,2024-06-01,0,0,0,0,70,0,44,0,0,0,0,11,44,0,44,0,44,10,44,1
P.H.O.L. - Sault Ste. Marie, 22,8,0,18,0,2024-06-01,0,0,0,0,18,0,15,0,0,0,0,2,15,1,15,0,15,0,15,0
P.H.O.L. - Sudbury, 22,11,0,14,0,2024-06-01,0,0,0,0,14,0,12,0,0,0,0,2,12,0,12,1,12,0,12,1
P.H.O.L. - Thunder Bay, 22,37,7,30,0,2024-06-01,0,0,0,0,30,0,26,0,0,0,0,2,26,0,26,0,26,3,26,0
P.H.O.L. - Timmins, 22,26,9,29,0,2024-06-01,0,0,0,0,29,0,23,0,0,0,0,0,23,0,23,3,23,5,23,0
P.H.O.L. - Toronto, 22,247,69,708,6,2024-06-01,6,0,6,1,707,0,683,0,0,0,0,62,683,14,683,34,683,85,683,17
Prairies, 22,5827,551,4258,9,2024-06-01,11,9,30,55,4013,14,1174,7,1,88,1,0,1174,7,1110,8,1162,149,1174,39
Prince Edward Island, 22,113,7,68,0,2024-06-01,0,0,0,0,68,0,13,0,1,0,0,0,13,0,13,1,13,7,13,0
Province of Ontario, 22,5371,380,4728,11,2024-06-01,11,7,19,12,4725,8,3626,1,0,43,0,142,3626,25,3629,84,3629,326,2387,30
Province of Québec, 22,6016,492,5737,0,2024-06-01,0,15,15,61,4484,60,1387,0,1,61,0,0,1398,30,1388,61,N.C.,N.C.,1269,17
Québec-Chaudière-Appalaches, 22,1147,124,1217,0,2024-06-01,0,1,1,4,1161,22,530,0,0,14,0,0,541,13,530,27,N.C.,N.C.,411,6
Région Nord-Est, 22,881,71,835,0,2024-06-01,0,5,5,19,448,4,101,0,0,11,0,0,101,1,101,6,N.C.,N.C.,101,0
Saskatchewan, 22,1070,77,796,0,2024-06-01,0,2,2,10,686,8,279,0,0,24,0,0,279,1,279,4,279,49,279,10
Sault Area Hospital, 22,86,6,69,1,2024-06-01,0,0,1,0,69,0,63,1,0,3,0,0,63,1,63,0,63,5,63,0
Shared Hospital Laboratory, 22,1213,36,936,1,2024-06-01,1,0,2,3,936,2,940,0,0,0,0,9,940,4,943,10,943,51,943,3
Sick Kids Hospital - Toronto, 22,N.R.,N.R.,N.R.,N.R.,2024-06-01,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 22,1304,50,1242,0,2024-06-01,0,5,5,5,1242,1,1242,0,0,39,0,0,1242,4,1242,16,1242,101,0,0
St. Joseph's - London, 22,373,7,211,0,2024-06-01,0,0,0,0,211,0,64,0,0,0,0,5,64,0,64,0,64,3,64,0
Territories, 22,218,9,189,0,2024-06-01,0,0,1,1,189,2,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,21,0,21,0,22,5,N.C.,N.C.
UHN / Mount Sinai Hospital, 22,849,42,567,0,2024-06-01,0,2,2,0,567,1,77,0,0,1,0,0,77,0,77,1,77,4,77,0
Yukon, 22,42,1,24,0,2024-06-01,0,0,1,0,24,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
