province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Province of Ontario, 50,9592,1911,7047,245,126,275,556,22,7043,428,4475,1,0,0,2,68,4475,94,4487,25,4487,207,4487,64
Province of Québec, 50,15726,3767,9248,4,0,1007,1011,10,6732,689,1596,3,1,6,2,0,1610,51,1601,42,N.C.,N.C.,1511,25
Québec-Chaudière-Appalaches, 50,2302,521,1417,0,0,124,124,4,1392,159,619,1,0,0,1,0,633,27,619,21,N.C.,N.C.,529,8
Région Nord-Est, 50,2140,366,1955,3,0,293,296,1,810,85,101,0,1,0,1,0,101,3,99,0,N.C.,N.C.,101,2
Saskatchewan, 50,2729,296,2298,0,0,566,566,12,2009,46,443,0,0,1,3,0,443,4,443,32,443,24,443,0
Sault Area Hospital, 50,249,36,158,24,0,8,32,0,158,9,128,1,0,0,2,0,128,3,128,0,128,16,128,0
Shared Hospital Laboratory, 50,2413,308,1948,71,35,31,137,6,1947,84,1903,0,0,0,0,4,1903,52,1915,7,1915,42,1915,19
Sick Kids Hospital - Toronto, 50,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 50,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - London, 50,1155,189,617,0,0,51,51,2,617,76,43,0,0,0,0,2,43,0,43,2,43,1,43,0
Territories, 50,338,20,285,45,3,72,120,0,285,27,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,71,8,N.C.,N.C.
UHN / Mount Sinai Hospital, 50,1410,172,712,1,0,35,36,1,712,11,21,0,0,0,0,0,21,0,21,0,21,0,21,0
Yukon, 50,45,5,35,1,0,0,1,0,35,3,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
